reference,table_name
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_DIMAX,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.STG_DADESRA.AUTORS_PRODUCTES_VERSIONS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.STG_DADESRA.DIMAX_RESOFITE_PATH,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.ANALISIS_RESOURCES_CALIPER_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.DDP_DOCENCIA.ANALISIS_RESOURCES_CALIPER_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.DDP_DOCENCIA.ANALISIS_ASSIGNATURA_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.DIMAX_V_RECURS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
